"N° Id","Tipo Imbarcazioni Ship Type","Nomi Imbarcazioni Ship Name","Naz. Imbarcazioni Ship Nationality","Porto Partenza Departure Place","Partenza Departure","Porto Arrivo Arrival Place","Arrivo Arrival","Porto Scalo Portcall Place","Merce Articles","Fonte Sources","Persona People Info"
01076,,,,,,Venezia,20/04/1402,"Southampton, Bruges, Ibiza","vini, allumi","Archivio di Stato di Prato (Datini)","Franceschino Bernaba di Venezia (padrone)"
01077,saettia,,,Genova,22/10/1390,Pisa,22/10/1390,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01079,saettia,,,Pisa,24/02/1391,,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni di Gaeta (padrone)"
01082,saettia,,,Pisa,12/05/1391,,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01087,saettia,,,Pisa,22/06/1392,,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01088,"saettia, saettia",,,Roma,26/07/1392,Pisa,02/08/1392,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone), Gregorio di Transi (padrone)"
01090,saettia,,,Pisa,17/08/1392,Roma,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01091,saettia,,,Pisa,,Roma,23/08/1392,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01092,,,,Pisa,26/06/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01094,"saettia, liuto",,,Pisa,08/07/1393,Gaeta,,"Corneto, Roma",,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone), n.s. (padrone)"
01097,saettia,,,Genova,,Pisa,12/11/1393,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01098,saetta,,,Pisa,15/11/1393,Roma,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01100,fregata,,,Genova,03/06/1394,Pisa,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01101,galea,,Lazio-Italia,Pisa,15/06/1394,Roma,,"Genova, Pisa",,"Archivio di Stato di Prato (Datini)","Bielolo di Baraone (padrone)"
01103,saettia,,,Pisa,09/02/1394,Roma,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01104,,,,Genova,,Pisa,05/06/1394,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01105,saetta,,,Pisa,26/03/1395,Genova,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01106,saettia,,,Pisa,26/06/1395,Roma,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01107,galea,,,Pisa,10/12/1395,Roma,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01110,saettia,,,Pisa,21/12/1395,Roma,,,,"Archivio di Stato di Prato (Datini)","Biello Baroni da Gaeta (padrone)"
01113,,,,,,Pisa,03/03/1409,,,"Archivio di Stato di Prato (Datini)","P. Barra (padrone)"
01118,nave,,,Barcellona,,Pisa,22/02/1390,,,"Archivio di Stato di Prato (Datini)","Piero Bartolini (padrone)"
01119,,,,Barcellona,01/06/1390,Genova,,,,"Archivio di Stato di Prato (Datini)","Piero Bartolini (padrone)"
01120,,,,Barcellona,30/05/1390,Genova,,,lana,"Archivio di Stato di Prato (Datini)","Piero Bartolini (padrone)"
01121,,,,Barcellona,20/01/1391,Pisa,22/02/1391,,,"Archivio di Stato di Prato (Datini)","Piero Bartolini (padrone)"
01122,,,,,,Pisa,31/03/1391,,,"Archivio di Stato di Prato (Datini)","Bartolino (padrone)"
01123,,,,Barcellona,20/01/1391,Barcellona,21/04/1391,Pisa,,"Archivio di Stato di Prato (Datini)","Piero Bartolini (padrone), Sancio Lopis (padrone)"
01126,liuto,,,Livorno,18/03/1396,Pisa,20/03/1396,,,"Archivio di Stato di Prato (Datini)","Bartolino da Porto Venere (padrone)"
01127,nave,,,Sicilia,,Pisa,03/05/1384,,grano,"Archivio di Stato di Prato (Datini)","Bartolomeo (padrone)"
01129,galea,,,,,Livorno,08/12/1399,,,"Archivio di Stato di Prato (Datini)","Conte Bartolomeo d'Amalfi (padrone)"
01130,galea,,,Piombino,,Livorno,03/01/1400,,,"Archivio di Stato di Prato (Datini)","Conte Bartolomeo d'Amalfi (padrone)"
01131,,,,Southampton,11/07/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Francesco Vacca (padrone)"
01134,,,,Valenza,14/11/1408,,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Benedetto da Venezia (padrone)"
01138,nave,,,Palermo,09/07/1406,Civitavecchia,,"Castellammare del Golfo, Candia, Rodi, Messina",grano,"Archivio di Stato di Prato (Datini)","Bartolomeo di Francesco (padrone), Giuliano di Giovanni (padrone)"
01139,,,,Valenza,,Maiorca,21/05/1410,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Francesco (padrone)"
01140,nave,,,Maiorca,05/06/1410,,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Francesco (padrone)"
01141,,,,Barcellona,,Genova,11/03/1408,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Benedetto da Venezia (padrone)"
01142,piatta,,,Livorno,20/08/1392,Pisa,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo (padrone)"
01143,,,,Livorno,,Pisa,07/09/1392,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Bono (padrone)"
01144,liuto,,,Genova,,Pisa,22/04/1393,,,"Archivio di Stato di Prato (Datini)","Bartolomeo (padrone)"
01145,,"S. Maria",,Motrone,16/10/1398,Savona,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Gignacce (padrone)"
01146,,,,Barcellona,11/10/1395,Maiorca,14/10/1395,,,"Archivio di Stato di Prato (Datini)","Giovanni Bartolomeo (padrone)"
01147,rampino,,,Barcellona,14/12/1395,Maiorca,20/12/1395,,,"Archivio di Stato di Prato (Datini)","Giovanni Bartomio (padrone)"
01148,liuto,,,"Aigues Mortes",06/03/1396,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo Giovanni (padrone)"
01149,barcozzo,,,Pisa,19/10/1385,Sicilia,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo Lamberto di P. Maurizio (padrone)"
01151,barca,,,Pisa,02/10/1394,Pisa,03/10/1394,Gorgona,,"Archivio di Stato di Prato (Datini)","Bartolomeo del Maestrello di Pisa (padrone)"
01152,vacchetta,,,Genova,,Pisa,06/04/1392,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Magliolo (padrone)"
01155,,,,"Porto Venere",15/01/1385,Livorno,03/02/1385,,,"Archivio di Stato di Prato (Datini)","Bartolomeo da Pendole di Genova (padrone)"
01158,liuto,,,Genova,19/04/1393,Pisa,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Pierino (padrone)"
01159,liuto,,,Genova,30/07/1393,Pisa,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Pierino (padrone)"
01160,liuto,,,Genova,,Pisa,04/08/1393,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Pierino (padrone)"
01161,,,,Pisa,11/08/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di Pierino (padrone)"
01162,barca,,,Palermo,04/08/1386,,,,,"Archivio di Stato di Prato (Datini)","Bartolomeo Pisano (padrone)"
01163,liuto,,,Livorno,,Pisa,15/03/1396,,,"Archivio di Stato di Prato (Datini)","Bartolomeo da Porto Venere (padrone)"
01164,barca,,,"Riviera ligure",,Pisa,01/03/1389,,,"Archivio di Stato di Prato (Datini)","Bartolomeo di San Piero di Chiavari (padrone)"
01165,,,,Livorno,30/10/1389,Provenza,,,,"Archivio di Stato di Prato (Datini)","Antonio Borsalone (padrone)"
01170,vacchetta,,,Livorno,,Pisa,18/06/1395,,,"Archivio di Stato di Prato (Datini)","Berzagnone da Porto Venere (padrone)"
01171,,,,Pisa,08/07/1395,Livorno,,,,"Archivio di Stato di Prato (Datini)","Berzagnone da Porto Venere (padrone)"
01172,liuto,,,Pisa,17/10/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Berzagnone da Porto Venere (padrone)"
01173,legno,,,Maiorca,23/09/1396,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Bas (padrone)"
01174,galea,,,Genova,,,31/10/1393,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01175,galeotta,,,Rodi,,Pisa,15/02/1391,,,"Archivio di Stato di Prato (Datini)","Messer Basilio di Genova (padrone)"
01176,galea,,,Genova,21/10/1393,Roma,,Pisa,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01177,galea,,,Genova,,Pisa,31/10/1394,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01178,cocca,Basilia,,Bruges,,Pisa,14/04/1392,,,"Archivio di Stato di Prato (Datini)","Iacomo Baseggio di Venezia (padrone)"
01179,,Basilia,,Fiandra,,Venezia,19/05/1392,,,"Archivio di Stato di Firenze (Del Bene)",
01180,,,,Venezia,,Maiorca,30/06/1394,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01182,,,,Venezia,28/01/1395,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01183,,,,Venezia,,Maiorca,24/03/1395,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01184,,Basilia,,,,Maiorca,08/04/1395,,,"Archivio di Stato di Prato (Datini)",
01185,,,,Maiorca,15/04/1395,Venezia,,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01186,cocca,,,Venezia,21/05/1395,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone)"
01187,nave,,,Venezia,13/06/1395,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone), ser Lorenzo Doni di Venezia (conducitore)"
01188,,Basilia,,Venezia,28/07/1395,Maiorca,,,,"Archivio di Stato di Prato (Datini)",
01193,cocca,Basilia,,Venezia,,Maiorca,14/09/1395,,"postello, carta, piombo","Archivio di Stato di Prato (Datini)","Giacomello Basilio di Venezia (padrone), Ser Lorenzo Dono di Venezia (conducitore)"
01194,,Basilia,,Maiorca,01/10/1395,Venezia,,,,"Archivio di Stato di Prato (Datini)","Ser Lorenzo Dono di Venezia (conducitore)"
01197,,Basilia,,Valenza,06/11/1395,Peñiscola,,,,"Archivio di Stato di Prato (Datini)",
01199,,Basilia,,Barcellona,18/01/1396,Pisa,,"Tortosa, Palamós, Sardegna",,"Archivio di Stato di Prato (Datini)",
01202,,Basilia,Venezia-Italia,Pisa,15/05/1396,,,,,"Archivio di Stato di Prato (Datini)",
01204,,Basilia,,Pisa,,Maiorca,02/06/1396,,,"Archivio di Stato di Prato (Datini)",
01206,,Basilia,,Maiorca,,Venezia,01/09/1396,,,"Archivio di Stato di Prato (Datini)",
01210,,,,Southampton,20/04/1398,Savona,,Maiorca,,"Archivio di Stato di Prato (Datini)","Bertuccio Diedi di Venezia (padrone)"
01211,,,,Pisa,,Barcellona,20/12/1397,,,"Archivio di Stato di Prato (Datini)","Francesco Basso (padrone)"
01212,,,,Maiorca,,Maiorca,27/07/1395,Barcellona,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01213,legno,,,Barcellona,24/09/1395,Maiorca,28/07/1395,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01214,legno,,,Maiorca,06/10/1395,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01215,,,,Barcellona,25/11/1395,Maiorca,28/11/1395,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01216,legno,,,Barcellona,14/02/1396,Maiorca,03/03/1396,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01217,legno,,,Maiorca,25/05/1396,Barcellona,27/05/1396,,,"Archivio di Stato di Prato (Datini)","Basso (padrone), Bassone (padrone)"
01218,liuto,,,Barcellona,09/06/1396,Maiorca,,,,,"Giovanni Basso (padrone)"
01219,,,,Barcellona,23/08/1396,Maiorca,27/08/1396,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01220,legno,,,Barcellona,08/01/1397,Maiorca,10/01/1397,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01221,,,,Maiorca,26/01/1397,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01222,legno,,,Barcellona,10/04/1397,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01223,rampino,,,Barcellona,,Maiorca,21/04/1399,,,"Archivio di Stato di Prato (Datini)","Basso (padrone)"
01225,,,,Romania,,Genova,17/03/1383,Sicilia,,"Archivio di Stato di Prato (Datini)","Ostiano Basso di Genova (padrone)"
01227,,,,Barcellona,31/05/1386,Fiandra,,Genova,,"Archivio di Stato di Prato (Datini)","Ostiano Basso di Genova (padrone), Antonio Campora (padrone)"
01228,,,,Southampton,16/03/1392,Genova,01/05/1392,,,"Archivio di Stato di Prato (Datini)","Ostiano Basso di Genova (padrone), fiorentini (noleggiatore)"
01250,,,,Collioure,,Barcellona,15/01/1402,Tortosa,,"Archivio di Stato di Prato (Datini)","Tecchini (padrone), Giovanni Bastiere (padrone)"
01251,,,,Collioure,12/10/1401,Pisa,22/02/1402,"Valenza, Tortosa, Peñiscola, Roses",,"Archivio di Stato di Prato (Datini)","Piero Tecchini (padrone)"
01252,,,,"Barcellona, Roses",26/01/1402,Pisa,21/02/1402,,,"Archivio di Stato di Prato (Datini)","Tecchini (padrone)"
01253,,,,Barcellona,,Pisa,20/02/1402,,,"Archivio di Stato di Prato (Datini)","Piero Tecchini (padrone)"
01254,,,,Pisa,22/02/1402,Collioure,25/05/1402,"Palermo, Pisa",,"Archivio di Stato di Prato (Datini)","Piero Tecchini (padrone)"
01256,,,,Siracusa,14/02/1403,,,,,"Archivio di Stato di Prato (Datini)","Pietro Tecchini (padrone)"
01258,,,,Beirut,01/06/1403,Collioure,,"Agrigento, San Feliu de Guíxois",,"Archivio di Stato di Prato (Datini)","Giovanni Bastiere (padrone)"
01259,,,,Beirut,25/07/1404,Collioure,,"Sicilia, Blanes",,"Archivio di Stato di Prato (Datini)","Giovanni Bastiere (padrone)"
01262,,,,Cagliari,,Tarragona,12/08/1407,,,"Archivio di Stato di Prato (Datini)","Bastier di Perpignano (padrone)"
01265,,,,Sicilia,,Barcellona,06/06/1409,"Sardegna, Maiorca",,"Archivio di Stato di Prato (Datini)","Bastier di Perpignano (padrone)"
01267,,,,Collioure,,Talamone,22/03/1410,"Peñiscola, Tortosa, Barcellona, San Feliu de Guíxois, Cagliari",,"Archivio di Stato di Prato (Datini)","Giovanni Bastiere (padrone)"
01272,,,,Maiorca,22/07/1395,Barcellona,25/07/1395,,,"Archivio di Stato di Prato (Datini)","Batera (padrone)"
01274,,,,Genova,04/08/1408,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Battista da Sarco (padrone)"
01275,,,,Genova,22/01/1409,Valenza,,Barcellona,,"Archivio di Stato di Prato (Datini)","Battista di Sireo di Genova (padrone)"
01277,,,,Valenza,21/08/1409,Genova,,,,"Archivio di Stato di Prato (Datini)","Batista da Sarco (padrone)"
01280,rampino,,,Maiorca,31/08/1395,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Baulo (padrone)"
01284,barca,,,Barcellona,16/05/1410,Maiorca,20/05/1410,,,"Archivio di Stato di Prato (Datini)","Bazza (padrone)"
01285,,,,Genova,07/10/1387,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01287,,,,Genova,01/01/1392,Pisa,,,,"Archivio di Stato di Prato (Datini)","Simonino della Becca (padrone)"
01288,,,,Pisa,27/05/1384,,,,,"Archivio di Stato di Prato (Datini)","Polo Bechignone di Genova (padrone)"
01289,,,,Rodi,,Pisa,02/11/1388,Sicilia,,"Archivio di Stato di Prato (Datini)","Polo Bechignone di Genova (padrone)"
01290,cocca,,,Barcellona,15/01/1410,Maiorca,,,,"Archivio di Stato di Prato (Datini)","G. Begeles (padrone)"
01291,barca,,,Barcellona,20/01/1397,Valenza,,,,"Archivio di Stato di Prato (Datini)","Beligno (padrone)"
01292,,Tries,,Barcellona,15/04/1402,Siracusa,,"Gaeta, Napoli",,"Archivio di Stato di Prato (Datini)",
01293,,,,Genova,,Pisa,17/09/1392,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01294,,,,Pisa,20/09/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01295,,,,Genova,,Pisa,11/10/1392,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01296,liuto,,,Genova,,Pisa,20/12/1392,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01297,,,,Genova,,Pisa,18/01/1393,Portofino,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01298,,,,Genova,,Pisa,12/02/1393,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01299,liuto,,,Pisa,31/03/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01300,liuto,,,Genova,,Pisa,07/07/1393,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01301,vacchetta,,,Pisa,12/08/1393,Livorno,,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01302,,,,Pisa,24/12/1393,Livorno,,,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01303,barca,,,Pisa,05/01/1394,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio Bevilacqua (padrone)"
01304,,,,Genova,,Pisa,04/05/1394,Levanto,,"Archivio di Stato di Prato (Datini)","Antonino Beaqua da Panicaglia (padrone)"
01305,,,,Provenza,01/01/1386,Genova,,,,"Archivio di Stato di Prato (Datini)","Benedetto Bellacqua da Nizza (padrone)"
01307,legno,,,Pisa,19/04/1393,Roma,,,,"Archivio di Stato di Prato (Datini)","Bellinga di Bertino da Porto Venere (padrone)"
01311,barca,,,Maiorca,25/10/1397,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Beltrame (padrone)"
01312,destriero,,,Barcellona,,Pisa,18/03/1401,,,"Archivio di Stato di Prato (Datini)","Antonio Beltramo (padrone)"
01313,barca,,,Valenza,14/10/1394,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Francesco Beltrame (padrone)"
01314,nave,,Castiglia-Spagna,Gaeta,24/06/1400,Barcellona,09/07/1400,,,"Archivio di Stato di Prato (Datini)","Giovanni Beltramo (padrone)"
01316,barca,,,Barcellona,20/08/1405,Valenza,28/08/1405,,,"Archivio di Stato di Prato (Datini)","Guglielmo Beltramo (padrone)"
01318,,,,Genova,30/04/1393,Spagna,,Savona,,"Archivio di Stato di Prato (Datini)","Niccolò Beltrami (padrone)"
01319,,,,Spagna,,Savona,24/10/1393,,cuoia,"Archivio di Stato di Prato (Datini)","Niccolò Beltrami (padrone)"
01320,galea,,,Palermo,01/09/1403,Barcellona,16/09/1403,,,"Archivio di Stato di Prato (Datini)","P. Beltramo (padrone)"
01321,bargia,,,Ibiza,23/04/1402,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Belviore di Ibiza (padrone)"
01322,,Bemba,,Maiorca,07/11/1396,Venezia,,,,"Archivio di Stato di Prato (Datini)","Nicoletto Marzagnolo di Venezia (padrone)"
01323,nave,,Venezia-Italia,Inghilterra,29/05/1396,Pisa,16/07/1396,Fiandra,,"Archivio di Stato di Prato (Datini)","Franceschino Bembo di Venezia (padrone)"
01324,,Bemba,,Pisa,,Maiorca,23/08/1396,,,"Archivio di Stato di Prato (Datini)",
01325,,,,Southampton,01/05/1396,Pisa,11/07/1396,,,"Archivio di Stato di Prato (Datini)","Franceschino Bembo di Venezia (padrone)"
01328,,,,Fiandra,,Pisa,11/07/1396,,,"Archivio di Stato di Prato (Datini)","Francesco Bembo di Venezia (padrone)"
01329,nave,,,Fiandra,,Parenzo,15/07/1396,,,"Archivio di Stato di Prato (Datini)",
01330,,,,Bruges,,Pisa,31/07/1396,,,"Archivio di Stato di Prato (Datini)","Franceschino Bembo di Venezia (padrone), Condulmer Gabriello di Venezia (padrone)"
01331,,Bemba,,Pisa,09/08/1396,,,,,"Archivio di Stato di Prato (Datini)","Luca del Biondo (padrone)"
01332,,,,Southampton,,Pisa,18/08/1396,,,"Archivio di Stato di Prato (Datini)","Franceschino Bembo di Venezia (padrone)"
01334,,Bemba,,Maiorca,06/11/1396,Venezia,20/12/1396,,,"Archivio di Stato di Prato (Datini)",
01335,,Bemba,,,,Venezia,05/01/1397,,,"Archivio di Stato di Prato (Datini)",
01336,,Bemba,,Venezia,31/03/1397,Fiandra,,,,"Archivio di Stato di Prato (Datini)",
01338,galeazza,,,Pisa,23/01/1399,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Giovanni Ben Iamo di Ancona (padrone)"
01339,galeazza,,,Barcellona,,Pisa,11/01/1399,,,"Archivio di Stato di Prato (Datini)","Giovanni Ben Iamo di Ancona (padrone)"
01340,nave,,,Sicilia,,Valenza,10/07/1410,,,"Archivio di Stato di Prato (Datini)","Benagianni (padrone)"
01341,nave,,Marche-Italia,Ancona,30/04/1408,Barcellona,,,carte,"Archivio di Stato di Prato (Datini)","Giovanni Ben Iamo di Ancona (padrone)"
01342,,,,,,Genova,25/08/1392,,,"Archivio di Stato di Prato (Datini)","Matteo Benama (padrone)"
01344,nave,,,Valenza,23/12/1409,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Benasam (padrone)"
01352,,,,Maiorca,22/11/1397,Venezia,,,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01353,,,,Venezia,04/04/1397,Maiorca,19/05/1397,,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01355,,,,Maiorca,22/06/1397,Venezia,,,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01356,cocca,,,Venezia,15/01/1398,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01357,,,,Venezia,,Maiorca,22/04/1398,,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01358,,,,Maiorca,10/06/1398,Venezia,,,,"Archivio di Stato di Prato (Datini)","Benedetto di Santuccia (padrone)"
01359,,,,Maiorca,,Venezia,24/07/1398,Valenza,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01361,,,,"Valenza, Maiorca",,Venezia,29/08/1398,,,"Archivio di Stato di Prato (Datini)","Santuccio di Benedetto di Venezia (padrone)"
01362,cocca,,,Venezia,14/08/1406,Valenza,,,,"Archivio di Stato di Prato (Datini)","Taddeo di Benedetto (padrone)"
01363,legno,,,Palermo,,Pisa,22/07/1390,,,"Archivio di Stato di Prato (Datini)","Benedetto da Moneglia (padrone)"
01366,saettia,,,Livorno,05/11/1389,Pisa,,,,"Archivio di Stato di Prato (Datini)","Benenato di Masinieri da Porto Venere (padrone)"
01367,saettia,,,Pisa,,Livorno,08/11/1393,,,"Archivio di Stato di Prato (Datini)","Benenato di Masinieri da Porto Venere (padrone)"
01368,saettia,,,Livorno,,Pisa,15/11/1393,,,"Archivio di Stato di Prato (Datini)","Benenato di Masinieri da Porto Venere (padrone)"
01371,,,,Pisa,,Maiorca,10/04/1408,,,"Archivio di Stato di Prato (Datini)","Benistante (padrone)"
01376,,,,Livorno,,Pisa,12/06/1395,,,"Archivio di Stato di Prato (Datini)","Antonio Bergatino (padrone)"
01382,,,,Genova,01/02/1393,Barcellona,22/03/1393,,"allude, bistosi fini","Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01383,,,,Bruges,,Pisa,27/03/1392,Barcellona,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01386,,,,Barcellona,26/02/1394,Pisa,02/04/1394,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01389,,,,Pisa,16/04/1394,Barcellona,21/05/1394,"Barcellona, Valenza",,"Archivio di Stato di Prato (Datini)","Berlinghieri (padrone)"
01390,,,,Barcellona,14/05/1394,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01393,,,,Pisa,,Maiorca,01/05/1394,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01394,,,,Barcellona,06/10/1395,Bruges,,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01397,,,,Harfleur,15/04/1396,Bruges,28/04/1396,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01398,spinazza,,,Rodi,,Barcellona,10/05/1395,Candia,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01399,,,,Barcellona,09/09/1405,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01401,,,,,,Genova,01/06/1407,,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01402,,,,Genova,06/11/1406,Valenza,,Barcellona,,"Archivio di Stato di Prato (Datini)","Arnao Berlinghieri di Barcellona (padrone)"
01403,barca,,,Maiorca,21/02/1401,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Berlinghieri (padrone)"
01406,,,,Sicilia,,Pisa,26/12/1388,,grano,"Archivio di Stato di Prato (Datini)","Berlinghieri Bucardo di Trapani (padrone)"
01408,nave,,Catalogna-Spagna,Valenza,06/10/1397,Genova,,,,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01409,,,,Valenza,,Genova,29/11/1397,"Peñiscola, Tortosa, Barcellona",,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01412,,,,Genova,22/01/1398,Barcellona,04/02/1398,,,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01413,,,,Genova,,Valenza,11/02/1398,,,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01414,,,,Valenza,17/04/1398,Barcellona,,,,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01420,,,,Genova,22/11/1398,Barcellona,24/03/1399,"San Feliu de Guíxois, Palamós, Barcellona, Valenza",,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01422,,,,Barcellona,,Barcellona,16/06/1399,"Cap de Salou, Barcellona, Pisa, Genova",,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01424,,,,Barcellona,03/09/1399,Genova,,,,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01425,,,,Genova,20/01/1400,Maiorca,01/02/1400,Barcellona,,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01426,,,,Ibiza,,Genova,24/03/1400,,sale,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
01427,,,,Genova,24/04/1400,Valenza,,"Roses, Barcellona",,"Archivio di Stato di Prato (Datini)","Guglielmo Bernardi (padrone)"
