"N° Id","Tipo Imbarcazioni Ship Type","Nomi Imbarcazioni Ship Name","Naz. Imbarcazioni Ship Nationality","Porto Partenza Departure Place","Partenza Departure","Porto Arrivo Arrival Place","Arrivo Arrival","Porto Scalo Portcall Place","Merce Articles","Fonte Sources","Persona People Info"
00587,,,,Tènés,,"Barcellona, Maiorca",31/10/1404,,,"Archivio di Stato di Prato (Datini)","Lupo Antoni (padrone)"
00589,,,,Maiorca,16/12/1404,Honaïne,,,,"Archivio di Stato di Prato (Datini)","Lope Antoni di Biscaya (padrone)"
00590,,,,Honaïne,,Maiorca,28/01/1405,,,"Archivio di Stato di Prato (Datini)","Lupo Antoni (padrone)"
00592,,,,Barberia,,Maiorca,02/12/1405,,,"Archivio di Stato di Prato (Datini)","Lope Antoni di Biscaya (padrone)"
00594,,,,Barcellona,23/01/1408,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Lupo Antoni (padrone)"
00595,,,,Maiorca,01/05/1396,Savona,,,,"Archivio di Stato di Prato (Datini)","Tommaso Antonio Caramella di Savona (padrone)"
00598,barca,,,Perpignano,20/08/1398,Maiorca,,,,"Archivio di Stato di Prato (Datini)","Antonio Valentino di Collioure (padrone)"
00599,barca,,,Savona,15/07/1397,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Andriola (conducitore)"
00601,liuto,,,Genova,02/05/1390,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00602,liuto,,,,,Livorno,16/08/1390,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00603,liuto,,,Genova,,Pisa,16/08/1390,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00604,liuto,,,Roma,,Pisa,18/02/1392,Talamone,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00605,liuto,,,Pisa,30/09/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00606,,,,Pisa,01/10/1392,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
